iso3,country_iso,country_name,autoc,democ,durable,exconst,exrec,parcomp,parreg,polcomp,polity,polity2,xconst,xrcomp,xropen,xrreg
AFG,AFG,Afghanistan,2,1,4.0,4,3,0,1,4,-1,-1.0,4,1,4,2
AGO,AGO,Angola,4,2,21.0,3,3,4,3,8,-2,-2.0,3,1,4,2
ALB,ALB,Albania,0,9,21.0,7,8,4,2,9,9,9.0,7,3,4,3
ARE,ARE,United Arab Emirates,8,0,47.0,3,2,1,4,1,-8,-8.0,3,1,2,3
ARG,ARG,Argentina,0,9,35.0,7,8,4,2,9,9,9.0,7,3,4,3
ARM,ARM,Armenia,0,7,20.0,6,7,4,2,9,7,7.0,6,2,4,2
AUS,AUS,Australia,0,10,117.0,7,8,5,5,10,10,10.0,7,3,4,3
AUT,AUT,Austria,0,10,72.0,7,8,5,5,10,10,10.0,7,3,4,3
AZE,AZE,Azerbaijan,7,0,23.0,2,3,2,4,2,-7,-7.0,2,1,4,2
BDI,BDI,Burundi,3,2,3.0,4,3,3,3,6,-1,-1.0,4,1,4,2
BEL,BEL,Belgium,0,8,74.0,7,8,3,2,7,8,8.0,7,3,4,3
BEN,BEN,Benin,0,7,27.0,5,8,4,2,9,7,7.0,5,3,4,3
BFA,BFA,Burkina Faso,1,7,3.0,6,7,4,3,8,6,6.0,6,2,4,2
BGD,BGD,Bangladesh,6,0,0.0,2,3,2,3,3,-6,-6.0,2,1,4,2
BGR,BGR,Bulgaria,0,9,28.0,7,8,4,2,9,9,9.0,7,3,4,3
BHR,BHR,Bahrain,10,0,6.0,1,1,1,4,1,-10,-10.0,1,1,1,3
BLR,BLR,Belarus,7,0,22.0,2,3,2,4,2,-7,-7.0,2,1,4,2
BOL,BOL,Bolivia,0,7,36.0,6,8,3,2,7,7,7.0,6,3,4,3
BRA,BRA,Brazil,0,8,33.0,6,8,4,2,9,8,8.0,6,3,4,3
BTN,BTN,Bhutan,0,7,10.0,6,6,4,2,9,7,7.0,6,2,3,3
BWA,BWA,Botswana,0,8,52.0,7,7,4,2,9,8,8.0,7,2,4,2
CAF,CAF,Central African Republic,1,7,2.0,7,7,3,3,6,6,6.0,7,2,4,2
CAN,CAN,Canada,0,10,130.0,7,8,5,5,10,10,10.0,7,3,4,3
CHE,CHE,Switzerland,0,10,170.0,7,8,5,5,10,10,10.0,7,3,4,3
CHL,CHL,Chile,0,10,29.0,7,8,5,5,10,10,10.0,7,3,4,3
CHN,CHN,China,7,0,69.0,3,3,1,4,1,-7,-7.0,3,1,4,2
CIV,CIV,Cote d'Ivoire,1,5,7.0,5,7,3,3,6,4,4.0,5,2,4,2
CMR,CMR,Cameroon,5,1,26.0,2,3,3,3,6,-4,-4.0,2,1,4,2
COG,COG,"Congo, Rep.",4,0,21.0,2,4,2,3,3,-4,-4.0,2,0,0,1
COL,COL,Colombia,0,7,61.0,6,8,3,2,7,7,7.0,6,3,4,3
COM,COM,Comoros,3,0,0.0,3,4,2,3,3,-3,-3.0,3,0,0,1
CPV,CPV,Cabo Verde,0,10,27.0,7,8,5,5,10,10,10.0,7,3,4,3
CRI,CRI,Costa Rica,0,10,99.0,7,8,5,5,10,10,10.0,7,3,4,3
CUB,CUB,Cuba,6,1,57.0,4,3,1,4,1,-5,-5.0,4,1,4,2
CYP,CYP,Cyprus,0,10,44.0,7,8,5,5,10,10,10.0,7,3,4,3
CZE,CZE,Czechia,0,9,25.0,7,8,4,2,9,9,9.0,7,3,4,3
DEU,DEU,Germany,0,10,28.0,7,8,5,5,10,10,10.0,7,3,4,3
DJI,DJI,Djibouti,0,3,19.0,4,7,0,2,5,3,3.0,4,2,4,2
DNK,DNK,Denmark,0,10,73.0,7,8,5,5,10,10,10.0,7,3,4,3
DOM,DOM,Dominican Republic,1,8,22.0,6,8,4,3,8,7,7.0,6,3,4,3
DZA,DZA,Algeria,1,3,14.0,5,5,3,3,6,2,2.0,5,0,0,2
ECU,ECU,Ecuador,1,6,18.0,4,8,4,3,8,5,5.0,4,3,4,3
EGY,EGY,"Egypt, Arab Rep.",4,0,5.0,3,5,2,4,2,-4,-4.0,3,0,0,2
ERI,ERI,Eritrea,7,0,25.0,2,3,2,4,2,-7,-7.0,2,1,4,2
ESP,ESP,Spain,0,10,40.0,7,8,5,5,10,10,10.0,7,3,4,3
EST,EST,Estonia,0,9,18.0,7,8,4,2,9,9,9.0,7,3,4,3
ETH,ETH,Ethiopia,2,3,0.0,5,3,3,2,7,1,1.0,5,1,4,2
FIN,FIN,Finland,0,10,74.0,7,8,5,5,10,10,10.0,7,3,4,3
FJI,FJI,Fiji,0,4,4.0,5,5,4,2,9,4,2.0,5,0,0,2
FRA,FRA,France,0,10,53.0,7,8,5,5,10,10,10.0,7,3,4,3
GAB,GAB,Gabon,1,4,9.0,4,7,3,3,6,3,3.0,4,2,4,2
GBR,GBR,United Kingdom,0,8,138.0,7,8,3,2,7,8,8.0,7,3,4,3
GEO,GEO,Georgia,1,8,27.0,6,8,4,3,8,7,7.0,6,3,4,3
GHA,GHA,Ghana,0,8,17.0,6,8,4,2,9,8,8.0,6,3,4,3
GIN,GIN,Guinea,0,4,5.0,4,7,3,2,7,4,4.0,4,2,4,2
GMB,GMB,"Gambia, The",0,4,1.0,5,7,0,2,5,4,4.0,5,2,4,2
GNB,GNB,Guinea-Bissau,1,7,4.0,6,7,4,3,8,6,6.0,6,2,4,2
GNQ,GNQ,Equatorial Guinea,6,0,49.0,1,4,2,4,2,-6,-6.0,1,0,0,1
GRC,GRC,Greece,0,10,43.0,7,8,5,5,10,10,10.0,7,3,4,3
GTM,GTM,Guatemala,1,9,22.0,7,8,4,3,8,8,8.0,7,3,4,3
GUY,GUY,Guyana,1,8,26.0,6,8,4,3,8,7,7.0,6,3,4,3
HND,HND,Honduras,0,7,36.0,5,8,4,2,9,7,7.0,5,3,4,3
HRV,HRV,Croatia,0,9,18.0,7,8,4,2,9,9,9.0,7,3,4,3
HTI,HTI,Haiti,1,6,1.0,5,7,4,3,8,5,5.0,5,2,4,2
HUN,HUN,Hungary,0,10,28.0,7,8,5,5,10,10,10.0,7,3,4,3
IDN,IDN,Indonesia,0,9,19.0,7,8,4,2,9,9,9.0,7,3,4,3
IND,IND,India,0,9,68.0,7,8,4,2,9,9,9.0,7,3,4,3
IRL,IRL,Ireland,0,10,97.0,7,8,5,5,10,10,10.0,7,3,4,3
IRN,IRN,"Iran, Islamic Rep.",7,0,14.0,2,3,2,4,2,-7,-7.0,2,1,4,2
IRQ,IRQ,Iraq,0,6,4.0,6,7,3,2,7,6,6.0,6,2,4,2
ISR,ISR,Israel,1,7,37.0,7,7,3,3,6,6,6.0,7,2,4,2
ITA,ITA,Italy,0,10,70.0,7,8,5,5,10,10,10.0,7,3,4,3
JAM,JAM,Jamaica,0,9,59.0,7,8,4,2,9,9,9.0,7,3,4,3
JOR,JOR,Jordan,5,2,29.0,3,2,4,3,8,-3,-3.0,3,1,2,3
JPN,JPN,Japan,0,10,66.0,7,8,5,5,10,10,10.0,7,3,4,3
KAZ,KAZ,Kazakhstan,6,0,27.0,2,3,2,3,3,-6,-6.0,2,1,4,2
KEN,KEN,Kenya,0,9,16.0,7,8,4,2,9,9,9.0,7,3,4,3
KGZ,KGZ,Kyrgyz Republic,0,8,7.0,7,8,3,2,7,8,8.0,7,3,4,3
KHM,KHM,Cambodia,4,0,1.0,2,4,2,3,3,-4,-4.0,2,0,0,1
KOR,KOR,"Korea, Rep.",0,8,30.0,6,8,4,2,9,8,8.0,6,3,4,3
KWT,KWT,Kuwait,7,0,54.0,3,2,2,4,2,-7,-7.0,3,1,2,3
LAO,LAO,Lao PDR,7,0,43.0,3,3,1,4,1,-7,-7.0,3,1,4,2
LBN,LBN,Lebanon,0,6,13.0,6,7,3,2,7,6,6.0,6,2,4,2
LBR,LBR,Liberia,1,8,12.0,6,8,4,3,8,7,7.0,6,3,4,3
LKA,LKA,Sri Lanka,1,7,0.0,6,8,3,3,6,6,6.0,6,3,4,3
LSO,LSO,Lesotho,1,9,16.0,7,8,4,3,8,8,8.0,7,3,4,3
LTU,LTU,Lithuania,0,10,27.0,7,8,5,5,10,10,10.0,7,3,4,3
LUX,LUX,Luxembourg,0,10,73.0,7,8,5,5,10,10,10.0,7,3,4,3
LVA,LVA,Latvia,0,8,27.0,7,7,4,2,9,8,8.0,7,2,4,2
MAR,MAR,Morocco,5,1,53.0,4,2,2,3,3,-4,-4.0,4,1,2,3
MDA,MDA,Moldova,0,9,27.0,7,8,4,2,9,9,9.0,7,3,4,3
MDG,MDG,Madagascar,0,6,4.0,6,7,3,2,7,6,6.0,6,2,4,2
MEX,MEX,Mexico,0,8,21.0,6,8,4,2,9,8,8.0,6,3,4,3
MKD,MKD,North Macedonia,0,9,16.0,7,8,4,2,9,9,9.0,7,3,4,3
MLI,MLI,Mali,1,6,5.0,5,7,4,3,8,5,5.0,5,2,4,2
MMR,MMR,Myanmar,0,8,2.0,7,7,4,2,9,8,8.0,7,2,4,2
MNE,MNE,Montenegro,0,9,12.0,7,8,4,2,9,9,9.0,7,3,4,3
MNG,MNG,Mongolia,0,10,26.0,7,8,5,5,10,10,10.0,7,3,4,3
MOZ,MOZ,Mozambique,1,6,24.0,5,7,4,3,8,5,5.0,5,2,4,2
MRT,MRT,Mauritania,2,0,9.0,2,5,0,2,5,-2,-2.0,2,0,0,2
MUS,MUS,Mauritius,0,10,50.0,7,8,5,5,10,10,10.0,7,3,4,3
MWI,MWI,Malawi,0,6,24.0,6,7,3,2,7,6,6.0,6,2,4,2
MYS,MYS,Malaysia,0,7,10.0,5,8,4,2,9,7,7.0,5,3,4,3
NAM,NAM,Namibia,0,6,28.0,5,7,4,2,9,6,6.0,5,2,4,2
NER,NER,Niger,1,6,7.0,5,7,4,3,8,5,5.0,5,2,4,2
NGA,NGA,Nigeria,1,8,3.0,6,8,4,3,8,7,7.0,6,3,4,3
NIC,NIC,Nicaragua,1,7,2.0,6,7,4,3,8,6,6.0,6,2,4,2
NLD,NLD,Netherlands,0,10,73.0,7,8,5,5,10,10,10.0,7,3,4,3
NOR,NOR,Norway,0,10,73.0,7,8,5,5,10,10,10.0,7,3,4,3
NPL,NPL,Nepal,1,8,12.0,6,8,4,3,8,7,7.0,6,3,4,3
NZL,NZL,New Zealand,0,10,141.0,7,8,5,5,10,10,10.0,7,3,4,3
OMN,OMN,Oman,8,0,61.0,2,1,2,4,2,-8,-8.0,2,1,1,3
PAK,PAK,Pakistan,0,7,10.0,6,8,3,2,7,7,7.0,6,3,4,3
PAN,PAN,Panama,0,9,29.0,6,8,5,5,10,9,9.0,6,3,4,3
PER,PER,Peru,0,9,17.0,7,8,4,2,9,9,9.0,7,3,4,3
PHL,PHL,Philippines,0,8,31.0,6,8,4,2,9,8,8.0,6,3,4,3
PNG,PNG,Papua New Guinea,0,5,43.0,6,7,0,2,5,5,5.0,6,2,4,2
POL,POL,Poland,0,10,27.0,7,8,5,5,10,10,10.0,7,3,4,3
PRK,PRK,"Korea, Dem. People's Rep.",10,0,70.0,1,1,1,4,1,-10,-10.0,1,1,1,3
PRT,PRT,Portugal,0,10,42.0,7,8,5,5,10,10,10.0,7,3,4,3
PRY,PRY,Paraguay,0,9,26.0,7,8,4,2,9,9,9.0,7,3,4,3
QAT,QAT,Qatar,10,0,47.0,1,1,1,4,1,-10,-10.0,1,1,1,3
ROU,ROU,Romania,0,9,22.0,7,8,4,2,9,9,9.0,7,3,4,3
RUS,RUS,Russian Federation,1,5,18.0,4,7,4,3,8,4,4.0,4,2,4,2
RWA,RWA,Rwanda,3,0,24.0,3,4,2,3,3,-3,-3.0,3,0,0,1
SAU,SAU,Saudi Arabia,10,0,92.0,1,1,1,4,1,-10,-10.0,1,1,1,3
SEN,SEN,Senegal,0,7,18.0,5,8,4,2,9,7,7.0,5,3,4,3
SGP,SGP,Singapore,4,2,53.0,3,7,2,4,2,-2,-2.0,3,2,4,2
SLB,SLB,Solomon Islands,1,9,14.0,7,8,4,3,8,8,8.0,7,3,4,3
SLE,SLE,Sierra Leone,1,8,16.0,6,8,4,3,8,7,7.0,6,3,4,3
SLV,SLV,El Salvador,0,8,34.0,6,8,4,2,9,8,8.0,6,3,4,3
SOM,SOM,Somalia,0,5,6.0,6,7,0,1,4,5,5.0,6,2,4,2
SRB,SRB,Serbia,1,9,12.0,7,8,4,3,8,8,8.0,7,3,4,3
SUR,SUR,Suriname,1,6,27.0,5,7,4,3,8,5,5.0,5,2,4,2
SVK,SVK,Slovak Republic,0,10,25.0,7,8,5,5,10,10,10.0,7,3,4,3
SVN,SVN,Slovenia,0,10,27.0,7,8,5,5,10,10,10.0,7,3,4,3
SWE,SWE,Sweden,0,10,101.0,7,8,5,5,10,10,10.0,7,3,4,3
SWZ,SWZ,Eswatini,9,0,45.0,2,2,1,4,1,-9,-9.0,2,1,2,3
SYR,SYR,Syrian Arab Republic,9,0,55.0,1,3,1,4,1,-9,-9.0,1,1,4,2
TCD,TCD,Chad,3,1,26.0,2,5,3,3,6,-2,-2.0,2,0,0,2
TGO,TGO,Togo,3,1,25.0,3,3,3,2,7,-2,-2.0,3,1,4,2
THA,THA,Thailand,3,0,4.0,3,4,2,3,3,-3,-3.0,3,0,0,1
TJK,TJK,Tajikistan,4,1,20.0,3,3,3,3,6,-3,-3.0,3,1,4,2
TKM,TKM,Turkmenistan,8,0,27.0,1,3,2,4,2,-8,-8.0,1,1,4,2
TLS,TLS,Timor-Leste,1,9,16.0,7,8,4,3,8,8,8.0,7,3,4,3
TTO,TTO,Trinidad and Tobago,0,10,56.0,7,8,5,5,10,10,10.0,7,3,4,3
TUN,TUN,Tunisia,0,7,4.0,6,7,4,2,9,7,7.0,6,2,4,2
TUR,TUR,Turkiye,4,0,2.0,3,4,2,4,2,-4,-4.0,3,0,0,1
TWN,TWN,"Taiwan, China",0,10,26.0,7,8,5,5,10,10,10.0,7,3,4,3
TZA,TZA,Tanzania,1,4,3.0,4,7,3,3,6,3,3.0,4,2,4,2
UGA,UGA,Uganda,2,1,13.0,3,5,3,3,6,-1,-1.0,3,0,0,2
UKR,UKR,Ukraine,1,5,27.0,5,7,3,3,6,4,4.0,5,2,4,2
URY,URY,Uruguay,0,10,33.0,7,8,5,5,10,10,10.0,7,3,4,3
USA,USA,United States,0,8,,7,8,3,2,7,8,8.0,7,3,4,3
UZB,UZB,Uzbekistan,9,0,27.0,1,3,1,4,1,-9,-9.0,1,1,4,2
VEN,VEN,"Venezuela, RB",4,1,1.0,3,3,3,3,6,-3,-3.0,3,1,4,2
VNM,VNM,Vietnam,7,0,64.0,3,3,1,4,1,-7,-7.0,3,1,4,2
XKX,XKX,Kosovo,0,8,10.0,7,7,4,2,9,8,8.0,7,2,4,2
ZAF,ZAF,South Africa,0,9,24.0,7,8,4,2,9,9,9.0,7,3,4,3
ZMB,ZMB,Zambia,0,6,17.0,5,8,3,2,7,6,6.0,5,3,4,3
ZWE,ZWE,Zimbabwe,1,5,5.0,5,7,3,3,6,4,4.0,5,2,4,2
